WorkOrderNo    SoftWONo  TranNoRel      SOLineNo   QtyOrd                         WorkOrderNo;SoftWONo;TranNoRel;SOLineNo;QtyOrd;LineStatus;TranDate;PromiseDate;ItemID;ItemShortDesc;Hold;HoldReason;CustName;PrintedExpectShipRpt;QtyOnBO;QtyShip;QtyInvcd;QtyOpenToShip;OrderHold;OrderHoldReason
00021952;;0000094180;2;7.00000000;Open;2019-07-01 00:00:00;2019-07-22 00:00:00;104-435;DCRADA1737AR3-1,6.5,DCR;False;;V P SUPPLY CORP.;Y;7.00000000;.00000000;.00000000;7.00000000;False;
00021817;;0000093949;3;16.00000000;Open;2019-06-26 00:00:00;2019-08-07 00:00:00;104-435;DCRADA1737AR3-1,6.5,DCR;False;;WEBB COMPANY, F.W.;Y;16.00000000;.00000000;.00000000;16.00000000;False;
;00015856;0000093957;3;2.00000000;Open;2019-06-26 00:00:00;2019-07-05 00:00:00;104-612;DL1625A3;False;;FWC SUPPLY,LLC;Y;2.00000000;.00000000;.00000000;2.00000000;False;
00021806;;0000093948;1;1.00000000;Open;2019-06-26 00:00:00;2019-07-09 00:00:00;104-623;DL17537A3;False;;PENSTAN SUPPLY #131;Y;1.00000000;.00000000;.00000000;1.00000000;False;
;;0000093627;4;1.00000000;Open;2019-06-12 00:00:00;2019-07-09 00:00:00;104-655;DL1933A1;False;;JUST CONSIGNED REPLENISHMENT;Y;.00000000;.00000000;.00000000;1.00000000;False;
;;0000094103;1;1.00000000;Open;2019-06-28 00:00:00;2099-12-31 00:00:00;104-657;DL1933A3;False;;PETERSON PLBG.SUPPLY;N;1.00000000;.00000000;.00000000;1.00000000;True;SIG? JBS 7/8
;00014776;0000094350;1;4.00000000;Open;2019-07-05 00:00:00;2019-07-19 00:00:00;104-668;DL2025A3;False;;WEBB COMPANY, F.W.;Y;4.00000000;.00000000;.00000000;4.00000000;False;
;;0000092118;1;13.00000000;Open;2019-05-23 00:00:00;2019-07-05 00:00:00;104-704;DL2133A4;False;;GOODIN COMPANY        ;Y;13.00000000;.00000000;.00000000;13.00000000;False;
00021811;;0000093960;4;1.00000000;Open;2019-06-26 00:00:00;2019-07-08 00:00:00;104-714;DL2137A3;False;;WINNELSON-PUEBLO;Y;1.00000000;.00000000;.00000000;1.00000000;False;
;;0000092887;6;1.00000000;Open;2019-06-07 00:00:00;2019-07-26 00:00:00;104-748;DL2233A3;False;;AITCHESON, J & H #176;Y;.00000000;.00000000;.00000000;1.00000000;False;
;;0000093045;2;3.00000000;Open;2019-06-11 00:00:00;2019-07-05 00:00:00;104-748;DL2233A3;False;;FERGUSON ENT. #454;Y;3.00000000;.00000000;.00000000;3.00000000;False;
;;0000092959;9;1.00000000;Open;2019-06-10 00:00:00;2019-07-29 00:00:00;104-748;DL2233A3;False;;HAJOCA CORP. #152;Y;1.00000000;.00000000;.00000000;1.00000000;False;
00021827;;0000093977;1;1.00000000;Open;2019-06-27 00:00:00;2019-07-10 00:00:00;105-000;DLADA17537A3,6.5,DCC;False;;DOPKIN, LEE L. #023;Y;1.00000000;.00000000;.00000000;1.00000000;False;
;;0000094033;1;1.00000000;Open;2019-06-12 00:00:00;2019-07-19 00:00:00;105-041;DLADA1829A0,5.5,DCR;False;;JUST CONSIGNED REPLENISHMENT;Y;.00000000;.00000000;.00000000;1.00000000;False;
00021054;;0000092759;2;2.00000000;Open;2019-06-05 00:00:00;2019-07-15 00:00:00;105-087;DLADA1829A2,5,DRR;False;;FERGUSON ENT. #294;Y;2.00000000;.00000000;.00000000;2.00000000;False;
00021676;;0000093734;1;1.00000000;Open;2019-06-21 00:00:00;2019-07-08 00:00:00;105-118;DLADA1829A3,6,DLR;False;;WESTWATER SUPPLY CORP.;Y;1.00000000;.00000000;.00000000;1.00000000;False;
